7,Chattanooga,Tennessee,CHA,0.44,86
2,Clarksville,Tennessee,CKV,1.56,44
11,Chattanooga,Tennessee,CHA,0,55
5,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,0.93,62
11,Memphis,Tennessee,MEM,0.1,57
8,Memphis,Tennessee,MEM,0.32,86
10,Clarksville,Tennessee,CKV,0,68
4,Chattanooga,Tennessee,CHA,0.39,61
3,Crossville,Tennessee,CSV,0.4,62
2,Nashville,Tennessee,BNA,1.15,47
5,Memphis,Tennessee,MEM,1.09,67
5,Crossville,Tennessee,CSV,0.16,69
1,Knoxville,Tennessee,TYS,0.44,35
8,Chattanooga,Tennessee,CHA,0.05,84
11,Knoxville,Tennessee,TYS,0,52
4,Clarksville,Tennessee,CKV,0.3,50
11,Memphis,Tennessee,MEM,0.5,50
7,Clarksville,Tennessee,CKV,4.74,79
1,Memphis,Tennessee,MEM,0.84,51
2,Clarksville,Tennessee,CKV,1.74,45
2,Chattanooga,Tennessee,CHA,0.02,35
11,Clarksville,Tennessee,CKV,0.12,44
1,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,0.5,32
1,Knoxville,Tennessee,TYS,1.29,27
3,Clarksville,Tennessee,CKV,3.94,61
1,Knoxville,Tennessee,TYS,0.32,38
12,Clarksville,Tennessee,CKV,0.12,40
10,Knoxville,Tennessee,TYS,0,65
6,Crossville,Tennessee,CSV,0.89,74
3,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,0.15,52
6,Memphis,Tennessee,MEM,0,80
6,Chattanooga,Tennessee,CHA,0.93,78
5,Knoxville,Tennessee,TYS,1.42,67
10,Clarksville,Tennessee,CKV,0.01,64
3,Knoxville,Tennessee,TYS,0.28,57
2,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,0.62,25
7,Knoxville,Tennessee,TYS,0.07,80
2,Chattanooga,Tennessee,CHA,2.67,49
3,Chattanooga,Tennessee,CHA,0.79,63
6,Memphis,Tennessee,MEM,0.35,84
10,Crossville,Tennessee,CSV,0,64
1,Crossville,Tennessee,CSV,0.07,33
9,Knoxville,Tennessee,TYS,0,77
5,Crossville,Tennessee,CSV,0.18,63
8,Memphis,Tennessee,MEM,3.8,80
4,Knoxville,Tennessee,TYS,0.32,56
3,Knoxville,Tennessee,TYS,0.39,43
3,Knoxville,Tennessee,TYS,1.13,63
1,Nashville,Tennessee,BNA,0.37,37
7,Knoxville,Tennessee,TYS,0,84
4,Memphis,Tennessee,MEM,1.7,62
11,Memphis,Tennessee,MEM,0.57,56
7,Nashville,Tennessee,BNA,0,85
4,Clarksville,Tennessee,CKV,0.67,63
2,Knoxville,Tennessee,TYS,0.14,29
12,Knoxville,Tennessee,TYS,0.64,43
4,Nashville,Tennessee,BNA,0.22,67
8,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,3.18,77
11,Bristol/Jhnsn Cty/Kngsprt,Tennessee,TRI,0.01,48
