11,Anderson,South Carolina,AND,0,64
3,Boise,Idaho,BOI,0.4,51
3,Ely,Nevada,ELY,0,40
7,Eureka,Nevada,P68,0,68
3,Great Falls,Montana,GTF,0,43
6,Ponca City,Oklahoma,PNC,0.09,72
5,Boston,Massachusetts,BOS,0.1,48
2,Scottsbluff,Nebraska,BFF,0.06,40
1,Reno,Nevada,RNO,0.33,44
12,Harrison,Arkansas,HRO,0.47,33
7,Minneapolis,Minnesota,MSP,0.55,74
9,Goodland,Kansas,GLD,0.12,69
2,Victoria,Texas,VCT,0,60
3,Elkins,West Virginia,EKN,0.66,52
5,Pittsburgh,Pennsylvania,PIT,0.92,57
1,Albuquerque,New Mexico,ABQ,0.03,36
12,Boise,Idaho,BOI,0.14,34
8,Charleston,West Virginia,CRW,0,77
12,West Palm Beach,Florida,PBI,0.44,77
5,Mt. Washington,New Hampshire,MWN,0,60
7,Omaha,Nebraska,OMA,2.11,83
8,Alma,Georgia,AMG,0.71,83
6,Huntsville,Alabama,HSV,2.56,79
1,Kansas City,Missouri,MCI,0.06,28
4,Atlanta,Georgia,ATL,0.68,61
10,Reno,Nevada,RNO,0,53
2,Lihue,Hawaii,LIH,0.03,71
7,Medford,Oregon,MFR,0,73
4,Boise,Idaho,BOI,0.22,54
12,Philadelphia,Pennsylvania,PHL,0.39,36
3,West Palm Beach,Florida,PBI,0.25,73
10,Lihue,Hawaii,LIH,0.04,80
1,Slidell,Louisiana,ASD,0.27,51
12,Winnemucca,Nevada,WMC,0.05,29
4,Valentine,Nebraska,VTN,1.53,50
3,Beckley,West Virginia,BKW,0.13,48
1,Louisville,Kentucky,SDF,0.64,45
8,Fargo,North Dakota,FAR,0.3,69
3,El Paso,Texas,ELP,0,62
8,Jackson,Kentucky,JKL,0.57,80
3,Boise,Idaho,BOI,0.36,44
7,Beaumont/Port Arthur,Texas,BPT,0.14,85
11,Atlantic City,New Jersey,ACY,0.05,42
9,Eureka,California,EKA,0,55
4,St Joseph,Missouri,STJ,1.13,61
6,Huntsville,Alabama,HSV,0.03,77
10,Spokane,Washington,GEG,2.02,48
10,Tupelo,Mississippi,TUP,0,69
7,Indianapolis,Indiana,IND,0.29,78
11,Savannah,Georgia,SAV,0.06,57
8,Roswell,New Mexico,ROW,2.19,76
3,Salinas,California,SNS,1.38,56
